backbone,arm_id,dataset,mean_mse,mean_mae,cell_count,profile_ids,evidence_role
dlinear_style,dlinear_original,Weather,0.24626303299575875,0.27443754979475754,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm1,0.3533296352863923,0.3716958489011356,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm2,0.31093316839250945,0.3541276702374567,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_original,Avg.,0.30350861222488684,0.3334203563111166,12,dataset_specific,strict_matched_v2p1
dlinear_style,dlinear_iscf,Weather,0.22867388527182042,0.2572712061880894,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm1,0.34422724608224464,0.37028993222766643,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm2,0.28292155753086023,0.33860712815123584,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf,Avg.,0.28527422962830845,0.3220560888556639,12,dataset_specific,strict_matched_v2p1
dlinear_style,dlinear_iscf_bsca,Weather,0.23181460544591398,0.25874934218045537,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf_bsca,ETTm1,0.35531647295095037,0.37589542108828594,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf_bsca,ETTm2,0.27864016288934557,0.332843252962461,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
dlinear_style,dlinear_iscf_bsca,Avg.,0.28859041376207,0.32249600541040074,12,dataset_specific,strict_matched_v2p1
patchtst_style,patchtst_original,Weather,0.2286663697420997,0.2534120182929734,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
patchtst_style,patchtst_original,ETTm1,0.3584157738081862,0.375184875774802,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
patchtst_style,patchtst_original,ETTm2,0.2589857375308403,0.31375826232082565,4,v1_shared_backbone_dataset_profile,strict_matched_v2p1
patchtst_style,patchtst_original,Avg.,0.28202262702704206,0.314118385462867,12,dataset_specific,strict_matched_v2p1
patchtst_style,patchtst_iscf,Weather,0.23310980541646154,0.2590046046019271,4,p04_lr4p00,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm1,0.35448744551606715,0.3778062838508468,4,p01_lr0p25,strict_matched_v2p1
patchtst_style,patchtst_iscf,ETTm2,0.26111035276993133,0.3153814564719994,4,p01_lr0p25,strict_matched_v2p1
patchtst_style,patchtst_iscf,Avg.,0.28290253456748665,0.3173974483082578,12,dataset_specific,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Weather,0.2316667564179985,0.2539978875084885,4,p04_lr4p00,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm1,0.3512622853603663,0.37688282744900103,4,p01_lr0p25,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,ETTm2,0.25802432616197823,0.3150453786515293,4,p01_lr0p25,strict_matched_v2p1
patchtst_style,patchtst_iscf_bsca,Avg.,0.2803177893134477,0.3153086978696729,12,dataset_specific,strict_matched_v2p1
